query
15:02.3
23:49.1
55:40.6
59:17.1
00:37.2
00:53.2
1:02
4:01
4:17
4:18
4:19
11:22
0.505555556
12:15
0.640972222
0.668055556
17:30
18:03
0.828472222
23:10
23:13
1
1.002083333
1.08
1.1
1.1031
1.11
1.13
1.15
1.16
1.19
1.2
1.218055556
1.25
1.27
1.272222222
1.274
1.28
1.31
1.32
1.33
1.340972222
1.351
1.36
1.37
1.38
1.396527778
1.41
1.42
1.425694444
1.44
1.451
1.469
1.5
1.6
1.61
1.629861111
1.630555556
1.72
42:01:00
42:25:00
1.9
1.977
1.995833333
2
2.12
2.2
2.230555556
2.286805556
2.312
2.33
59:04:00
2.514
2.516
3
3.125
3.131
3.134
3.152
3.19
3.191
3.212
3.22
3.4
3.5
3.603
3.7
3.85
4
4.04
4.2
5
5
5.4
5.49
6
6.1
6.2
6.5
7
7.1
7.135
7.209
7.3
8.01
8.104
8.1115
8.112
8.3
8.679
9
9.01
9.02
9.03
9.11
9.14
9.2
9.22
9.3
9.33
9.406
9.672
10
261:01:00
265:22:00
265:33:00
11.07
11.42
12
12.01
12.09
12.14
12.19
12.28
12.31
12.35
12.35
12.38
12.39
12.42
12.44
12.44
12.45
12.51
13
13.21
14
14.004
14.156
15.01
15.206
15.4
15.504
17
18.9
19
19.36
21.3021
22.01
24.01
24.017
25.03
25.4
26.012
26.1
27.005
28.1
28.424
30.006
30.3
31.5
31.7
32
32.01
32.1
32.31
33
33.01
33.1
33.3
33.43
34
34.01
37
37.9
38.001
38.02
38.03
38.06
38.1
38.23
39.0136
39.522
40
41
41.0115
41.1395
42
42
43.5
44
44.102
44.103
44.302
45
45.031
46.0111
46.02
46.2
47
48.031
48.035
49
49.325
50
51.002
51.035
52.02
52.07
52.12
52.229
53.208
54
54
54.1
55
55.509
56
56.085
56.1
57
57.1
59.03
60
60.01
60.02
61
61.07
61.075
61.14
62
63
64.04
65
68.065
69.081
70.22
71
72
74.04
74.051
77.07
78.065
79.01
81
82
82.04
83.06
83.48
83.51
83.53
83.57
83.6
85.22
85.23
86
87
87.146
87.226
88.11
90.201
90.202
90.203
90.401
90.402
90.403
90.404
90.502
90.503
90.504
90.507
90.61
90.702
90.801
90.802
90.804
92.142
92.251
92.5
95.11
100.1
100.18
100.47
101
102.29
103
104
106
107
109
110
110.03
110.1
112
113.085
115.001
117.1
119
119.021
119.12
120
120.05
120.6
121
124.34
125.445
128
128.5
131
135.748
136
137.073
138
139.21
141
141.206
143.5
145
148.3
148.6
151.007
151.077
151.105
151.131
152
152.202
153
153.031
159.01
162
163.556
164.26
165
166.15
167
168
168.118
169
169.121
170
170.1
170.1
170.56
171.06
172
174.02
175
177.5
178
179.32
180
182
182.1
186.054
186.056
190.46
190.8
193.6
195
195.05
195.205
196.012
197.122
197.3632
197.552
198
198.21
199.4
199.5
200.4
200.508
200.82
201
202.27
202.7
205
209
